si.dos
# , E (eV) ,  dos(E)    , Int dos(E) 
  ,-4.010,6.017E-01,5.927E-01
  ,-4.000,6.066E-01,5.987E-01
  ,-3.990,6.114E-01,6.048E-01
  ,-3.980,6.164E-01,6.109E-01
  ,-3.970,6.214E-01,6.171E-01
  ,-3.960,6.264E-01,6.234E-01
  ,-3.950,6.315E-01,6.296E-01
  ,-3.940,6.366E-01,6.36E-01
  ,-3.930,6.418E-01,6.424E-01
  ,-3.920,6.47E-01,6.488E-01
  ,-3.910,6.522E-01,6.553E-01
  ,-3.900,6.575E-01,6.619E-01
  ,-3.890,6.629E-01,6.685E-01
  ,-3.880,6.683E-01,6.751E-01
  ,-3.870,6.737E-01,6.818E-01
  ,-3.860,6.792E-01,6.886E-01
  ,-3.850,6.847E-01,6.954E-01
  ,-3.840,6.903E-01,7.023E-01
  ,-3.830,6.959E-01,7.092E-01
  ,-3.820,7.016E-01,7.162E-01
  ,-3.810,7.074E-01,7.233E-01
  ,-3.800,7.134E-01,7.304E-01
  ,-3.790,7.194E-01,7.375E-01
  ,-3.780,7.256E-01,7.448E-01
  ,-3.770,7.319E-01,7.52E-01
  ,-3.760,7.384E-01,7.594E-01
  ,-3.750,7.449E-01,7.668E-01
  ,-3.740,7.516E-01,7.743E-01
  ,-3.730,7.584E-01,7.818E-01
  ,-3.720,7.653E-01,7.895E-01
  ,-3.710,7.723E-01,7.971E-01
  ,-3.700,8.016E-01,8.05E-01
  ,-3.690,8.43E-01,8.132E-01
  ,-3.680,8.762E-01,8.218E-01
  ,-3.670,9.011E-01,8.307E-01
  ,-3.660,9.177E-01,8.398E-01
  ,-3.650,9.279E-01,8.49E-01
  ,-3.640,9.371E-01,8.583E-01
  ,-3.630,9.453E-01,8.678E-01
  ,-3.620,9.527E-01,8.772E-01
  ,-3.610,9.592E-01,8.868E-01
  ,-3.600,9.648E-01,8.964E-01
  ,-3.590,9.696E-01,9.061E-01
  ,-3.580,9.734E-01,9.158E-01
  ,-3.570,9.764E-01,9.256E-01
  ,-3.560,9.784E-01,9.353E-01
  ,-3.550,9.793E-01,9.451E-01
  ,-3.540,9.777E-01,9.549E-01
  ,-3.530,9.736E-01,9.647E-01
  ,-3.520,9.671E-01,9.744E-01
  ,-3.510,9.581E-01,9.84E-01
  ,-3.500,9.465E-01,9.935E-01
  ,-3.490,9.325E-01,1.003E+00
  ,-3.480,9.161E-01,1.012E+00
  ,-3.470,8.971E-01,1.021E+00
  ,-3.460,8.947E-01,1.03E+00
  ,-3.450,8.924E-01,1.039E+00
  ,-3.440,8.901E-01,1.048E+00
  ,-3.430,8.879E-01,1.057E+00
  ,-3.420,8.857E-01,1.066E+00
  ,-3.410,8.836E-01,1.075E+00
  ,-3.400,8.814E-01,1.083E+00
  ,-3.390,8.793E-01,1.092E+00
  ,-3.380,8.772E-01,1.101E+00
  ,-3.370,8.752E-01,1.11E+00
  ,-3.360,8.732E-01,1.119E+00
  ,-3.350,8.712E-01,1.127E+00
  ,-3.340,8.692E-01,1.136E+00
  ,-3.330,8.673E-01,1.145E+00
  ,-3.320,8.654E-01,1.153E+00
  ,-3.310,8.635E-01,1.162E+00
  ,-3.300,8.616E-01,1.171E+00
  ,-3.290,8.598E-01,1.179E+00
  ,-3.280,8.58E-01,1.188E+00
  ,-3.270,8.561E-01,1.196E+00
  ,-3.260,8.543E-01,1.205E+00
  ,-3.250,8.525E-01,1.213E+00
  ,-3.240,8.506E-01,1.222E+00
  ,-3.230,8.488E-01,1.23E+00
  ,-3.220,8.47E-01,1.239E+00
  ,-3.210,8.452E-01,1.247E+00
  ,-3.200,8.434E-01,1.256E+00
  ,-3.190,8.416E-01,1.264E+00
  ,-3.180,8.398E-01,1.273E+00
  ,-3.170,8.38E-01,1.281E+00
  ,-3.160,8.363E-01,1.289E+00
  ,-3.150,8.346E-01,1.298E+00
  ,-3.140,8.33E-01,1.306E+00
  ,-3.130,8.314E-01,1.314E+00
  ,-3.120,8.299E-01,1.323E+00
  ,-3.110,8.284E-01,1.331E+00
  ,-3.100,8.27E-01,1.339E+00
  ,-3.090,8.257E-01,1.348E+00
  ,-3.080,8.244E-01,1.356E+00
  ,-3.070,8.231E-01,1.364E+00
  ,-3.060,8.219E-01,1.372E+00
  ,-3.050,8.208E-01,1.381E+00
  ,-3.040,8.197E-01,1.389E+00
  ,-3.030,8.187E-01,1.397E+00
  ,-3.020,8.095E-01,1.405E+00
  ,-3.010,8.023E-01,1.413E+00
  ,-3.000,7.976E-01,1.421E+00
  ,-2.990,7.954E-01,1.429E+00
  ,-2.980,7.956E-01,1.437E+00
  ,-2.970,7.938E-01,1.445E+00
  ,-2.960,7.907E-01,1.453E+00
  ,-2.950,7.877E-01,1.461E+00
  ,-2.940,7.85E-01,1.469E+00
  ,-2.930,7.823E-01,1.477E+00
  ,-2.920,7.799E-01,1.484E+00
  ,-2.910,7.777E-01,1.492E+00
  ,-2.900,7.756E-01,1.5E+00
  ,-2.890,7.737E-01,1.508E+00
  ,-2.880,7.72E-01,1.515E+00
  ,-2.870,7.704E-01,1.523E+00
  ,-2.860,7.691E-01,1.531E+00
  ,-2.850,7.679E-01,1.538E+00
  ,-2.840,7.669E-01,1.546E+00
  ,-2.830,7.66E-01,1.554E+00
  ,-2.820,7.654E-01,1.561E+00
  ,-2.810,7.649E-01,1.569E+00
  ,-2.800,7.646E-01,1.577E+00
  ,-2.790,7.645E-01,1.584E+00
  ,-2.780,7.63E-01,1.592E+00
  ,-2.770,7.597E-01,1.6E+00
  ,-2.760,7.564E-01,1.607E+00
  ,-2.750,7.53E-01,1.615E+00
  ,-2.740,7.496E-01,1.622E+00
  ,-2.730,7.463E-01,1.63E+00
  ,-2.720,7.429E-01,1.637E+00
  ,-2.710,7.394E-01,1.645E+00
  ,-2.700,7.36E-01,1.652E+00
  ,-2.690,7.325E-01,1.659E+00
  ,-2.680,7.29E-01,1.667E+00
  ,-2.670,7.255E-01,1.674E+00
  ,-2.660,7.22E-01,1.681E+00
  ,-2.650,7.184E-01,1.688E+00
  ,-2.640,7.149E-01,1.696E+00
  ,-2.630,7.113E-01,1.703E+00
  ,-2.620,7.077E-01,1.71E+00
  ,-2.610,7.04E-01,1.717E+00
  ,-2.600,6.994E-01,1.724E+00
  ,-2.590,6.943E-01,1.731E+00
  ,-2.580,6.889E-01,1.738E+00
  ,-2.570,6.832E-01,1.745E+00
  ,-2.560,6.771E-01,1.751E+00
  ,-2.550,6.708E-01,1.758E+00
  ,-2.540,6.642E-01,1.765E+00
  ,-2.530,6.572E-01,1.771E+00
  ,-2.520,6.5E-01,1.778E+00
  ,-2.510,6.425E-01,1.784E+00
  ,-2.500,6.346E-01,1.791E+00
  ,-2.490,6.265E-01,1.797E+00
  ,-2.480,6.18E-01,1.803E+00
  ,-2.470,6.092E-01,1.809E+00
  ,-2.460,6.002E-01,1.815E+00
  ,-2.450,5.908E-01,1.821E+00
  ,-2.440,5.805E-01,1.827E+00
  ,-2.430,5.684E-01,1.833E+00
  ,-2.420,5.564E-01,1.839E+00
  ,-2.410,5.446E-01,1.844E+00
  ,-2.400,5.328E-01,1.85E+00
  ,-2.390,5.211E-01,1.855E+00
  ,-2.380,5.096E-01,1.86E+00
  ,-2.370,4.981E-01,1.865E+00
  ,-2.360,4.867E-01,1.87E+00
  ,-2.350,4.755E-01,1.875E+00
  ,-2.340,4.643E-01,1.879E+00
  ,-2.330,4.532E-01,1.884E+00
  ,-2.320,4.423E-01,1.889E+00
  ,-2.310,4.314E-01,1.893E+00
  ,-2.300,4.206E-01,1.897E+00
  ,-2.290,4.099E-01,1.901E+00
  ,-2.280,3.994E-01,1.905E+00
  ,-2.270,3.889E-01,1.909E+00
  ,-2.260,3.785E-01,1.913E+00
  ,-2.250,3.682E-01,1.917E+00
  ,-2.240,3.581E-01,1.92E+00
  ,-2.230,3.48E-01,1.924E+00
  ,-2.220,3.38E-01,1.927E+00
  ,-2.210,3.281E-01,1.931E+00
  ,-2.200,3.184E-01,1.934E+00
  ,-2.190,3.087E-01,1.937E+00
  ,-2.180,2.991E-01,1.94E+00
  ,-2.170,2.897E-01,1.943E+00
  ,-2.160,2.804E-01,1.946E+00
